date,meter_location_en,equipment_name_en,shift_label,interval_energy_kwh,energy_day_kwh,energy_night_kwh
2021-01-10,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Night,20.686270999997678,0.0,20.686270999997678
2021-01-11,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Day,0.01512899999996881,0.01512899999996881,0.0
2021-01-11,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Night,0.138384000000029,0.0,0.138384000000029
2021-01-11,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Day,21.362694000008283,21.362694000008283,0.0
2021-01-11,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Night,14.870678000000163,0.0,14.870678000000163
2021-01-12,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Day,0.03841599999994628,0.03841599999994628,0.0
2021-01-12,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Night,0.12110400000016497,0.0,0.12110400000016497
2021-01-12,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Day,17.31714199998815,17.31714199998815,0.0
2021-01-12,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Night,16.110734999998858,0.0,16.110734999998858
2021-01-13,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Day,1.0670890000001274,1.0670890000001274,0.0
2021-01-13,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Night,0.10956100000005377,0.0,0.10956100000005377
2021-01-13,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Day,18.60004400000064,18.60004400000064,0.0
2021-01-13,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Night,14.569051999995029,0.0,14.569051999995029
2021-01-14,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Day,0.28515600000003677,0.28515600000003677,0.0
2021-01-14,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Night,0.1108889999999445,0.0,0.1108889999999445
2021-01-14,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Day,14.405321000007238,14.405321000007238,0.0
2021-01-14,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Night,16.385345000000754,0.0,16.385345000000754
2021-01-15,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Day,0.14364099999976135,0.14364099999976135,0.0
2021-01-15,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Night,0.2830239999997392,0.0,0.2830239999997392
2021-01-15,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Day,19.50613100000425,19.50613100000425,0.0
2021-01-15,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Night,13.107693000002945,0.0,13.107693000002945
2021-01-16,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Day,0.0,0.0,0.0
2021-01-16,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Night,0.10497599999999414,0.0,0.10497599999999414
2021-01-16,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Day,19.91816099999314,19.91816099999314,0.0
2021-01-16,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Night,18.235438000002528,0.0,18.235438000002528
2021-01-17,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Day,0.0,0.0,0.0
2021-01-17,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Night,0.0,0.0,0.0
