date,meter_location_en,equipment_name_en,energy_kwh
2021-02-03,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,33.861487000002406
2021-02-04,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.31825699999973
2021-02-04,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,43.33367199999388
2021-02-05,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.0
2021-02-05,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,10.861408000005031
2021-02-08,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,1.0679849999996887
2021-02-08,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,30.739755999991573
2021-02-09,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.5154440000000613
2021-02-09,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,47.734686000000764
2021-02-10,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.7155620000004989
2021-02-10,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,44.22780799999794
2021-02-11,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.9238819999996285
2021-02-11,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,38.11143300000576
2021-02-12,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,1.037793999999736
2021-02-12,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,38.360267999998165
2021-02-13,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.5382160000000289
2021-02-13,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,40.76241900000753
2021-02-14,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.0
2021-02-14,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,52.87799299999267
2021-02-15,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,1.299491999999609
2021-02-15,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,39.631120000005616
2021-02-16,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.6366410000000107
2021-02-16,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,37.9070900000046
2021-02-17,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.56012900000014
2021-02-17,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,41.50073799998827
2021-02-18,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.6072049999997717
2021-02-18,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,41.29193899999122
2021-02-19,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.6769250000001941
2021-02-19,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,44.38234100000798
2021-02-20,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.16333600000020101
2021-02-20,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,42.62027199999648
2021-02-21,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.0
2021-02-21,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,36.70088600000955
2021-02-22,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.06473799999990534
2021-02-22,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,15.962328000005696
2021-02-23,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,1.4805799999991647
2021-02-23,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,30.083072000007746
2021-02-24,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.36577999999998223
2021-02-24,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,44.09047999999987
2021-02-25,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.48050499999968643
2021-02-25,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,44.38120700000423
2021-02-26,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.3710050000000946
2021-02-26,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,33.28368399998555
2021-02-27,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,1.5578809999999053
2021-02-27,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,38.80548299999408
2021-02-28,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.0
2021-02-28,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,47.56343100001056
2021-03-01,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.05176899999994972
2021-03-01,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,37.993318000004926
2021-03-02,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.33131599999988315
2021-03-02,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,33.84007499998788
2021-03-03,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.5192649999998852
2021-03-03,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,39.649771000005494
2021-03-04,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.4610409999998291
2021-03-04,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,39.767726000004366
2021-03-05,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.480538000000201
2021-03-05,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,37.544745999998185
2021-03-06,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.3632499999999686
2021-03-06,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,31.68731700000001
2021-03-07,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.0
2021-03-07,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,61.81132999999239
2021-03-08,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.5446850000005833
2021-03-08,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,39.67890499999245
2021-03-09,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,1.3690419999998726
2021-03-09,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,47.892725000003146
2021-03-10,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,1.3498249999992833
2021-03-10,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,47.161063999998966
2021-03-19,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.0
2021-03-19,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,0.0
2021-03-21,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.0
2021-03-21,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,8.480308000000452
2021-03-22,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.505940000000147
